,fist,open_hand,thumb_down,thumb_left,thumb_right
fist,1197,0,0,2,1
open_hand,0,1200,0,0,0
thumb_down,0,0,1200,0,0
thumb_left,0,0,0,1197,3
thumb_right,3,0,0,2,1195
