,precision,recall,f1-score,support
fist,0.9975,0.9975,0.9975,1200.0
open_hand,1.0,1.0,1.0,1200.0
thumb_down,1.0,1.0,1.0,1200.0
thumb_left,0.9966694421315571,0.9975,0.9970845481049563,1200.0
thumb_right,0.9966638865721434,0.9958333333333333,0.9962484368486869,1200.0
accuracy,0.9981666666666666,0.9981666666666666,0.9981666666666666,0.9981666666666666
macro avg,0.99816666574074,0.9981666666666668,0.9981665969907286,6000.0
weighted avg,0.9981666657407401,0.9981666666666666,0.9981665969907286,6000.0
