Model,Test Accuracy,Test Macro F1,CV Mean Accuracy,CV Std Accuracy,CV Mean Macro F1,CV Std Macro F1
RandomForest,0.9923333333333333,0.992329206182206,0.9932333333333334,0.0006716480559870059,0.9932312947216232,0.0006740255683306173
MLP,0.9998333333333334,0.999833333304398,0.9995666666666667,0.00016996731711977126,0.9995666660879472,0.00016996788459307127
XGBoost,0.9981666666666666,0.9981665969907286,0.9974666666666667,0.0003231786571611056,0.9974670345780912,0.00032329166731593116
