,precision,recall,f1-score,support
fist,0.9849246231155779,0.98,0.9824561403508771,1200.0
open_hand,1.0,1.0,1.0,1200.0
thumb_down,1.0,1.0,1.0,1200.0
thumb_left,0.9892116182572614,0.9933333333333333,0.9912681912681913,1200.0
thumb_right,0.9875104079933389,0.9883333333333333,0.9879216992919617,1200.0
accuracy,0.9923333333333333,0.9923333333333333,0.9923333333333333,0.9923333333333333
macro avg,0.9923293298732357,0.9923333333333332,0.992329206182206,6000.0
weighted avg,0.9923293298732357,0.9923333333333333,0.9923292061822061,6000.0
