,precision,recall,f1-score,support
fist,1.0,0.9991666666666666,0.9995831596498541,1200.0
open_hand,1.0,1.0,1.0,1200.0
thumb_down,1.0,1.0,1.0,1200.0
thumb_left,1.0,1.0,1.0,1200.0
thumb_right,0.9991673605328892,1.0,0.9995835068721366,1200.0
accuracy,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334
macro avg,0.9998334721065778,0.9998333333333334,0.999833333304398,6000.0
weighted avg,0.9998334721065779,0.9998333333333334,0.999833333304398,6000.0
